1password-cli	2.34.0-1
python3-typing-extensions	4.13.2-1
python3-yaml	6.0.2-1+b2
python3-zipp	3.21.0-1
python3.13	3.13.5-2
python3.13-minimal	3.13.5-2
qemu-efi-aarch64	2025.02-8+deb13u1
qemu-system-arm	1:10.0.8+ds-0+deb13u1+b1
qemu-system-common	1:10.0.8+ds-0+deb13u1+b1
qemu-system-data	1:10.0.8+ds-0+deb13u1
qemu-utils	1:10.0.8+ds-0+deb13u1+b1
qrencode	4.1.1-2
radvd	1:2.20-1
rake	13.2.1-1
readline-common	8.2-6
ripgrep	14.1.1-1+b4
route-config	0.19.0-1
route-config-rest	0.1.0-1
route-configd	0.1.0-1
rpcbind	1.2.7-1
rpcsvc-proto	1.4.3-1+b1
rsync	3.4.1+ds1-5+deb13u1
rsyslog	8.2504.0-1
ruby	1:3.3+b1
ruby-csv	3.3.4-1
ruby-did-you-mean	1.6.3-2
ruby-net-telnet	0.2.0-1
ruby-ruby2-keywords	0.0.5-1
ruby-rubygems	3.6.7-2
ruby-webrick	1.9.1-1
ruby-xmlrpc	0.3.3-2
ruby3.3	3.3.8-2
rubygems-integration	1.19
runit-helper	2.16.4
rustc	1.85.0+dfsg3-1
sed	4.9-2+b1
sensible-utils	0.0.25
sgml-base	1.31+nmu1
shared-mime-info	2.4-5+b2
shellcheck	0.10.0-1
sqv	1.3.0-3+b2
sudo	1.9.16p2-3+deb13u1
systemd	257.9-1~deb13u1
systemd-container	257.9-1~deb13u1
systemd-resolved	257.9-1~deb13u1
systemd-sysv	257.9-1~deb13u1
systemd-timesyncd	257.9-1~deb13u1
sysvinit-utils	3.14-4
tar	1.35+dfsg-3.1
tcpdump	4.99.5-2
tmux	3.5a-3
toilet	0.3-3
toilet-fonts	0.3-3
traceroute	1:2.1.6-1
tzdata	2026a-0+deb13u1
u-boot-tools	2025.01-3
ucf	3.0052
udev	257.9-1~deb13u1
udisks2	2.10.1-12.1+deb13u1
unbound	1.22.0-2+deb13u1
unbound-anchor	1.22.0-2+deb13u1
unzip	6.0-29
upower	1.90.9-1
usb-modeswitch	2.6.1-4+b2
usb-modeswitch-data	20191128-7
usbutils	1:018-2
util-linux	2.41-5
uuid-dev:arm64	2.41-5
vim-common	2:9.1.1230-2
vim-nox	2:9.1.1230-2
vim-runtime	2:9.1.1230-2
wdiff	1.2.2-9
wget	1.25.0-2
whiptail	0.52.25-1
wireguard-tools	1.0.20210914-3
wireless-regdb	2026.02.04-1~deb13u1
wpasupplicant	2:2.10-24
xkb-data	2.42-1
xml-core	0.19
xz-utils	5.8.1-1
zlib1g:arm64	1:1.3.dfsg+really1.3.1-1+b1
zlib1g-dev:arm64	1:1.3.dfsg+really1.3.1-1+b1
zsh	5.9-8+b21
zsh-common	5.9-8
